token_id,rarity_tier,price_eth,name
130,Over-the-Fence Shot,0.0777,Satoshe Slugger #131
912,Over-the-Fence Shot,0.0777,Satoshe Slugger #913
975,Over-the-Fence Shot,0.0777,Satoshe Slugger #976
1127,Over-the-Fence Shot,0.0777,Satoshe Slugger #1128
1169,Over-the-Fence Shot,0.0777,Satoshe Slugger #1170
1196,Over-the-Fence Shot,0.0777,Satoshe Slugger #1197
1206,Over-the-Fence Shot,0.0777,Satoshe Slugger #1207
1239,Over-the-Fence Shot,0.0777,Satoshe Slugger #1240
1252,Over-the-Fence Shot,0.0777,Satoshe Slugger #1253
1283,Over-the-Fence Shot,0.0777,Satoshe Slugger #1284
1337,Over-the-Fence Shot,0.0777,Satoshe Slugger #1338
1403,Over-the-Fence Shot,0.0777,Satoshe Slugger #1404
1471,Over-the-Fence Shot,0.0777,Satoshe Slugger #1472
1539,Over-the-Fence Shot,0.0777,Satoshe Slugger #1540
1545,Over-the-Fence Shot,0.0777,Satoshe Slugger #1546
1563,Over-the-Fence Shot,0.0777,Satoshe Slugger #1564
1565,Over-the-Fence Shot,0.0777,Satoshe Slugger #1566
1655,Over-the-Fence Shot,0.0777,Satoshe Slugger #1656
1677,Over-the-Fence Shot,0.0777,Satoshe Slugger #1678
1707,Over-the-Fence Shot,0.0777,Satoshe Slugger #1708
1728,Over-the-Fence Shot,0.0777,Satoshe Slugger #1729
1733,Over-the-Fence Shot,0.0777,Satoshe Slugger #1734
1742,Over-the-Fence Shot,0.0777,Satoshe Slugger #1743
1827,Over-the-Fence Shot,0.0777,Satoshe Slugger #1828
1850,Over-the-Fence Shot,0.0777,Satoshe Slugger #1851
1896,Over-the-Fence Shot,0.0777,Satoshe Slugger #1897
1900,Over-the-Fence Shot,0.0777,Satoshe Slugger #1901
1955,Over-the-Fence Shot,0.0777,Satoshe Slugger #1956
1977,Over-the-Fence Shot,0.0777,Satoshe Slugger #1978
2020,Over-the-Fence Shot,0.0777,Satoshe Slugger #2021
2044,Over-the-Fence Shot,0.0777,Satoshe Slugger #2045
2073,Over-the-Fence Shot,0.0777,Satoshe Slugger #2074
2113,Over-the-Fence Shot,0.0777,Satoshe Slugger #2114
2144,Over-the-Fence Shot,0.0777,Satoshe Slugger #2145
2160,Over-the-Fence Shot,0.0777,Satoshe Slugger #2161
2201,Over-the-Fence Shot,0.0777,Satoshe Slugger #2202
2207,Over-the-Fence Shot,0.0777,Satoshe Slugger #2208
2262,Over-the-Fence Shot,0.0777,Satoshe Slugger #2263
2289,Over-the-Fence Shot,0.0777,Satoshe Slugger #2290
2320,Over-the-Fence Shot,0.0777,Satoshe Slugger #2321
2324,Over-the-Fence Shot,0.0777,Satoshe Slugger #2325
2362,Over-the-Fence Shot,0.0777,Satoshe Slugger #2363
2367,Over-the-Fence Shot,0.0777,Satoshe Slugger #2368
2439,Over-the-Fence Shot,0.0777,Satoshe Slugger #2440
2449,Over-the-Fence Shot,0.0777,Satoshe Slugger #2450
